time,susceptible,exposed,infected,recovered,new_exposed,new_infected,new_recovered,deaths,error
134,0.9966105674383183,0.0005026763546680382,0.0006274708725895064,0.002144918390776373,5.5434330332770806e-05,6.572735526106441e-05,7.28584705708626e-05,0.00011389602093856914,0.9999995290772908
135,0.996556545876113,0.0004926524284306804,0.0006169087489702771,0.0022171713892926302,5.415611155082585e-05,6.458368582458735e-05,7.178207580711948e-05,0.00011699065588433061,1.0000002690986909
136,0.9965040716313806,0.0004818884807932491,0.0006074230201147907,0.002286800675572264,5.2743343423413e-05,6.330546704264238e-05,6.983111029783506e-05,0.00012015256550282604,1.0000003363733636
137,0.9964527410560845,0.00046998086371934084,0.0005990809606957816,0.0023551517430699517,5.119602595053226e-05,6.303636835170661e-05,6.821651815222039e-05,0.00012304537643038568,1.0
138,0.9964018814034977,0.0004617060789730656,0.0005880479143674145,0.002422426415803897,5.092692725959648e-05,5.913443733313779e-05,6.714012338847726e-05,0.00012627456072161506,1.0000003363733638
139,0.9963516272229654,0.0004533640195540564,0.0005773512414027173,0.0024884901444286313,5.025418053225703e-05,5.866351462400017e-05,6.619827797020202e-05,0.00012889827295823892,0.9999997309013091
140,0.9963025167118696,0.0004446183120986435,0.0005669236671289558,0.0025540156756714938,4.9043236423046015e-05,5.799076789666072e-05,6.559280591559652e-05,0.00013206018257673434,1.0000001345493454
141,0.9962540789475012,0.0004362762526796343,0.0005558906208005887,0.002618733910841549,4.85723137139084e-05,5.671254911471576e-05,6.485278451552312e-05,0.00013475116948609214,0.9999997309013091
142,0.9962071885006056,0.00042907786269710216,0.0005441175530721484,0.002682644849938797,4.729409493196344e-05,5.462703425996346e-05,6.370911507904606e-05,0.00013764398041365178,1.0000006727467272
143,0.996160836251092,0.0004212067259872306,0.0005321426613255062,0.0027452775702541,4.608315082275243e-05,5.388701285989007e-05,6.269999498803689e-05,0.0001402004179775417,0.9999996636266364
144,0.996115829495033,0.0004131337652591572,0.0005208405163062034,0.0028071702691693295,4.5141305404477194e-05,5.321426613255062e-05,6.155632555155981e-05,0.0001430259542323674,1.0
